TYPE,NAME,ADDRESS,COMM_CODE,longitude,latitude,location
Community Centre,Lakeview Community Centre,6110 34 ST SW,LKV,-114.136177403624,50.998359742341,"(50.998359742341, -114.136177403624)"
Community Centre,Varsity Community Centre,4303 Varsity DR NW,VAR,-114.149233848822,51.091982801746,"(51.091982801746, -114.149233848822)"
Community Centre,Richmond/Knob Hill Community Centre,2433 26 AV SW,RIC,-114.117034822334,51.0299208196774,"(51.0299208196774, -114.117034822334)"
Community Centre,McKenzie Lake Community Centre,16198 McKenzie Lake WY SE,MCK,-113.98356700065,50.9062786985697,"(50.9062786985697, -113.98356700065)"
Community Centre,Oakridge Community Centre,9504 Oakfield DR SW,OAK,-114.131995228101,50.968766426043,"(50.968766426043, -114.131995228101)"
Community Centre,North Glenmore Park Community Centre,2231 Longridge DR SW,NGM,-114.112060374884,50.9981173940099,"(50.9981173940099, -114.112060374884)"
Community Centre,Killarney/Glengarry Community Centre,2828 28 ST SW,KIL,-114.127682948402,51.0287192018986,"(51.0287192018986, -114.127682948402)"
Community Centre,Willow Park / Mapleridge Community Centre,680 Acadia DR SE,MPL,-114.043339081006,50.9598927282439,"(50.9598927282439, -114.043339081006)"
Hospital,Peter Lougheed Medical Centre,3500 - 26 AV NE,SUN,-113.983943513823,51.079016349325,"(51.079016349325, -113.983943513823)"
Community Centre,Glendale/Glendale Meadows Community Centre,2405 Glenmount DR SW,GDL,-114.149817830341,51.0329980912996,"(51.0329980912996, -114.149817830341)"
Library,Nose Hill Library,1530 NORTHMOUNT DR NW,BRE,-114.138834684966,51.0965429124468,"(51.0965429124468, -114.138834684966)"
Library,Nicholls Family Library,1421 33 ST SW,RCK,-114.135822728766,51.0404113676839,"(51.0404113676839, -114.135822728766)"
Library,Bowness Library,7930 BOWNESS RD NW,BOW,-114.200294784029,51.089619800008,"(51.089619800008, -114.200294784029)"
Hospital,Alberta Children's Hospital,2888 Shaganappi Trail NW,UOC,-114.147957615112,51.0745598803388,"(51.0745598803388, -114.147957615112)"
Library,Southwood Library,924 SOUTHLAND DR SW,SOW,-114.086179976426,50.9635865579852,"(50.9635865579852, -114.086179976426)"
Library,Village Square Library,2623 56 ST NE,PIN,-113.954554391912,51.0753875206159,"(51.0753875206159, -113.954554391912)"
Library,Fish Creek Library,11161 BONAVENTURE DR SE,WIL,-114.060911418729,50.9517180536444,"(50.9517180536444, -114.060911418729)"
Library,Signal Hill Library,5994 SIGNAL HILL CT SW,SIG,-114.17536278617,51.0187998363522,"(51.0187998363522, -114.17536278617)"
Library,Louise Riley Library,1904 14 AV NW,HOU,-114.104348150476,51.0654571672452,"(51.0654571672452, -114.104348150476)"
Library,Memorial Park Library,1221 2 ST SW,BLN,-114.069059613784,51.0411090039314,"(51.0411090039314, -114.069059613784)"
Library,Alexander Calhoun Library,3223 14 ST SW,SOC,-114.095503447711,51.0254458197411,"(51.0254458197411, -114.095503447711)"
Community Centre,Temple Community Centre,167 Templegreen RD NE,TEM,-113.944853945052,51.0874093418892,"(51.0874093418892, -113.944853945052)"
Community Centre,Parkdale Community Centre,3512 5 AV NW,PKD,-114.136806890665,51.0605147520499,"(51.0605147520499, -114.136806890665)"
Community Centre,Southwood Community Centre,11 Sackville DR SW,SOW,-114.086593098679,50.9567837161647,"(50.9567837161647, -114.086593098679)"
Community Centre,Triwood Community Centre,2244 Chicoutimi DR NW,CHW,-114.111715364068,51.0863175067629,"(51.0863175067629, -114.111715364068)"
Community Centre,Meadowlark Park Community Centre,623 58 AV SW,MEA,-114.077814613771,51.0010764902497,"(51.0010764902497, -114.077814613771)"
Community Centre,Rosemont Community Centre,2807 10 ST NW,CAP,-114.086037506156,51.0767529623702,"(51.0767529623702, -114.086037506156)"
